Tintle,Abstract,Matched Search Term 1,Matched Search Term 2,Matched Search Term 4
" ""Development of pre-trained language models for clinical {NLP} in {S}panish"","," ""clinical natural language processing aims to tackle language and prediction tasks using text from medical practice, such as clinical notes, prescriptions, and discharge summaries. several approaches have been tried to deal with these tasks. since 2017, pre-trained language models (plms) have achieved state-of-the-art performance in many tasks. however, most works have been developed in english. this phd research proposal addresses the development of plms for clinical nlp in spanish. to carry out this study, we will build a clinical corpus big enough to implement a functional plm. we will test several plm architectures and evaluate them with language and prediction tasks. the novelty of this work lies in the use of only clinical text, while previous clinical plms have used a mix of general, biomedical, and clinical text."",",discharge summar,natural language process,evalu
" ""Patient Outcome and Zero-shot Diagnosis Prediction with Hypernetwork-guided Multitask Learning"","," ""multitask deep learning has been applied to patient outcome prediction from text, taking clinical notes as input and training deep neural networks with a joint loss function of multiple tasks. however, the joint training scheme of multitask learning suffers from inter-task interference, and diagnosis prediction among the multiple tasks has the generalizability issue due to rare diseases or unseen diagnoses. to solve these challenges, we propose a hypernetwork-based approach that generates task-conditioned parameters and coefficients of multitask prediction heads to learn task-specific prediction and balance the multitask learning. we also incorporate semantic task information to improve the generalizability of our task-conditioned multitask model. experiments on early and discharge notes extracted from the real-world mimic database show our method can achieve better performance on multitask patient outcome prediction than strong baselines in most cases. besides, our method can effectively handle the scenario with limited information and improve zero-shot prediction on unseen diagnosis categories."",",clinical not,generat,challeng
" ""Modelling Temporal Document Sequences for Clinical {ICD} Coding"","," ""past studies on the icd coding problem focus on predicting clinical codes primarily based on the discharge summary. this covers only a small fraction of the notes generated during each hospital stay and leaves potential for improving performance by analysing all the available clinical notes. we propose a hierarchical transformer architecture that uses text across the entire sequence of clinical notes in each hospital stay for icd coding, and incorporates embeddings for text metadata such as their position, time, and type of note. while using all clinical notes increases the quantity of data substantially, superconvergence can be used to reduce training costs. we evaluate the model on the mimic-iii dataset. our model exceeds the prior state-of-the-art when using only discharge summaries as input, and achieves further performance improvements when all clinical notes are used as input."",",discharge summar,generat,evalu
" ""{GLADIS}: A General and Large Acronym Disambiguation Benchmark"","," ""acronym disambiguation (ad) is crucial for natural language understanding on various sources, including biomedical reports, scientific papers, and search engine queries. however, existing acronym disambiguationbenchmarks and tools are limited to specific domains, and the size of prior benchmarks is rather small. to accelerate the research on acronym disambiguation, we construct a new benchmark with three components: (1) a much larger acronym dictionary with 1.5m acronyms and 6.4m long forms; (2) a pre-training corpus with 160 million sentences;(3) three datasets that cover thegeneral, scientific, and biomedical domains. we then pre-train a language model, \textit{acrobert}, on our constructed corpus for general acronym disambiguation, and show the challenges and values of our new benchmark."",",medical domain,natural languag,challeng
" ""An Empirical Study of Clinical Note Generation from Doctor-Patient Encounters"","," ""medical doctors spend on average 52 to 102 minutes per day writing clinical notes from their patient encounters (hripcsak et al., 2011). reducing this workload calls for relevant and efficient summarization methods. in this paper, we introduce new resources and empirical investigations for the automatic summarization of doctor-patient conversations in a clinical setting. in particular, we introduce the mts-dialog dataset; a new collection of 1,700 doctor-patient dialogues and corresponding clinical notes. we use this new dataset to investigate the feasibility of this task and the relevance of existing language models, data augmentation, and guided summarization techniques. we compare standard evaluation metrics based on n-gram matching, contextual embeddings, and fact extraction to assess the accuracy and the factual consistency of the generated summaries. to ground these results, we perform an expert-based evaluation using relevant natural language generation criteria and task-specific criteria such as critical omissions, and study the correlation between the automatic metrics and expert judgments. to the best of our knowledge, this study is the first attempt to introduce an open dataset of doctor-patient conversations and clinical notes, with detailed automated and manual evaluations of clinical note generation."",",clinical not,natural languag,evalu
" ""Enriching Biomedical Knowledge for Low-resource Language Through Large-scale Translation"","," ""biomedical data and benchmarks are highly valuable yet very limited in low-resource languages other than english, such as vietnamese. in this paper, we use a state-of-the-art translation model in english-vietnamese to translate and produce both pretrained and supervised data in the biomedical domains. thanks to such large-scale translation, we introduce vipubmedt5, a pretrained encoder-decoder transformer model trained on 20 million translated abstracts from the high-quality public pubmed corpus. vipubmedt5 demonstrates state-of-the-art results on two different biomedical benchmarks in summarization and acronym disambiguation. further, we release vimednli - a new nlp task in vietnamese translated from mednli using the recently public en-vi translation model and carefully refined by human experts, with evaluations of existing methods against vipubmedt5."",",medical domain,translat,benchmark
" ""{INCOGNITUS}: A Toolbox for Automated Clinical Notes Anonymization"","," ""automated text anonymization is a classical problem in natural language processing (nlp). the topic has evolved immensely throughout the years, with the first list-search and rule-based solutions evolving to statistical modeling approaches and later to advanced systems that rely on powerful state-of-the-art language models. even so, these solutions fail to be widely implemented in the most privacy-demanding areas of activity, such as healthcare; none of them is perfect, and most can not guarantee rigorous anonymization. this paper presents incognitus, a flexible platform for the automated anonymization of clinical notes that offers the possibility of applying different techniques. the available tools include an underexplored yet promising method that guarantees 100{\%} recall by replacing each word with a semantically identical one. in addition, the presented framework incorporates a performance evaluation module to compute a novel metric for information loss assessment in real-time."",",clinical not,natural language process,evalu
" ""Entity Coreference and Co-occurrence Aware Argument Mining from Biomedical Literature"","," ""biomedical argument mining (bam) aims at automatically identifying the argumentative structure in biomedical texts. however, identifying and classifying argumentative relations (ar) between argumentative components (ac) is challenging since it not only needs to understand the semantics of acs but also need to capture the interactions between them. we argue that entities can serve as bridges that connect different acs since entities and their mentions convey significant semantic information in biomedical argumentation. for example, it is common that related ac pairs share a common entity. capturing such entity information can be beneficial for the relation identification (ri) task. in order to incorporate this entity information into bam, we propose an entity coreference and co-occurrence aware argument mining (eccam) framework based on an edge-oriented graph model for bam. we evaluate our model on a benchmark dataset and from the experimental results we find that our method improves upon state-of-the-art methods."",",medical text,semant,challeng
" ""Medical Visual Textual Entailment for Numerical Understanding of Vision-and-Language Models"","," ""assessing the capacity of numerical understanding of vision-and-language models over images and texts is crucial for real vision-and-language applications, such as systems for automated medical image analysis. we provide a visual reasoning dataset focusing on numerical understanding in the medical domain. the experiments using our dataset show that current vision-and-language models fail to perform numerical inference in the medical domain. however, the data augmentation with only a small amount of our dataset improves the model performance, while maintaining the performance in the general domain."",",medical domain,infer,assess
" ""Investigating Massive Multilingual Pre-Trained Machine Translation Models for Clinical Domain via Transfer Learning"","," ""massively multilingual pre-trained language models (mmplms) are developed in recent years demonstrating superpowers and the pre-knowledge they acquire for downstream tasks. this work investigates whether mmplms can be applied to clinical domain machine translation (mt) towards entirely unseen languages via transfer learning. we carry out an experimental investigation using meta-ai{'}s mmplms {``}wmt21-dense-24-wide-en-x and x-en (wmt21fb){''} which were pre-trained on 7 language pairs and 14 translation directions including english to czech, german, hausa, icelandic, japanese, russian, and chinese, and the opposite direction. we fine-tune these mmplms towards english-\textit{spanish} language pair which \textit{did not exist at all} in their original pre-trained corpora both implicitly and explicitly.we prepare carefully aligned \textit{clinical} domain data for this fine-tuning, which is different from their original mixed domain knowledge.our experimental result shows that the fine-tuning is very successful using just 250k well-aligned in-domain en-es segments for three sub-task translation testings: clinical cases, clinical terms, and ontology concepts. it achieves very close evaluation scores to another mmplm nllb from meta-ai, which included spanish as a high-resource setting in the pre-training.to the best of our knowledge, this is the first work on using mmplms towards \textit{clinical domain transfer-learning nmt} successfully for totally unseen languages during pre-training."",",clinical domain,translat,evalu
" ""Context-aware Medication Event Extraction from Unstructured Text"","," ""accurately capturing medication history is crucial in delivering high-quality medical care. the extraction of medication events from unstructured clinical notes, however, is challenging because the information is presented in complex narratives. we address this challenge by leveraging the newly released contextualized medication event dataset (cmed) as part of our participation in the 2022 national nlp clinical challenges (n2c2) shared task. our study evaluates the performance of various pretrained language models in this task. further, we find that data augmentation coupled with domain-specific training provides notable improvements. with experiments, we also underscore the importance of careful data preprocessing in medical event detection."",",clinical not,nlp,shared task
" ""Knowledge Injection for Disease Names in Logical Inference between {J}apanese Clinical Texts"","," ""in the medical field, there are many clinical texts such as electronic medical records, and research on japanese natural language processing using these texts has been conducted. one such research involves recognizing textual entailment (rte) in clinical texts using a semantic analysis and logical inference system, ccg2lambda. however, it is difficult for existing inference systems to correctly determine the entailment relations , if the input sentence contains medical domain specific paraphrases such as disease names. in this study, we propose a method to supplement the equivalence relations of disease names as axioms by identifying candidates for paraphrases that lack in theorem proving. candidates of paraphrases are identified by using a model for the ner task for disease names and a disease name dictionary. we also construct an inference test set that requires knowledge injection of disease names and evaluate our inference system. experiments showed that our inference system was able to correctly infer for 106 out of 149 inference test sets."",",medical record,natural language process,evalu
" ""Harnessing the Power of {BERT} in the {T}urkish Clinical Domain: Pretraining Approaches for Limited Data Scenarios"","," ""recent advancements in natural language processing (nlp) have been driven by large language models (llms), thereby revolutionizing the field. our study investigates the impact of diverse pre-training strategies on the performance of turkish clinical language models in a multi-label classification task involving radiology reports, with a focus on overcoming language resource limitations. additionally, for the first time, we evaluated the simultaneous pre-training approach by utilizing limited clinical task data. we developed four models: turkradbert-task v1, turkradbert-task v2, turkradbert-sim v1, and turkradbert-sim v2. our results revealed superior performance from berturk and turkradbert-task v1, both of which leverage a broad general-domain corpus. although task-adaptive pre-training is capable of identifying domain-specific patterns, it may be prone to overfitting because of the constraints of the task-specific corpus. our findings highlight the importance of domain-specific vocabulary during pre-training to improve performance. they also affirmed that a combination of general domain knowledge and task-specific fine-tuning is crucial for optimal performance across various categories. this study offers key insights for future research on pre-training techniques in the clinical domain, particularly for low-resource languages."",",clinical domain,natural language process,evalu
" ""Textual Entailment for Temporal Dependency Graph Parsing"","," ""we explore temporal dependency graph (tdg) parsing in the clinical domain. we leverage existing annotations on the thyme dataset to semi-automatically construct a tdg corpus. then we propose a new natural language inference (nli) approach to tdg parsing, and evaluate it both on general domain tdgs from wikinews and the newly constructed clinical tdg corpus. we achieve competitive performance on general domain tdgs with a much simpler model than prior work. on the clinical tdgs, our method establishes the first result of tdg parsing on clinical data with 0.79/0.88 micro/macro f1."",",clinical domain,natural languag,annotat
" ""Method for Designing Semantic Annotation of Sepsis Signs in Clinical Text"","," ""annotated clinical text corpora are essential for machine learning studies that model and predict care processes and disease progression. however, few studies describe the necessary experimental design of the annotation guideline and annotation phases. this makes replication, reuse, and adoption challenging. using clinical questions about sepsis, we designed a semantic annotation guideline to capture sepsis signs from clinical text. the clinical questions aid guideline design, application, and evaluation. our method incrementally evaluates each change in the guideline by testing the resulting annotated corpus using clinical questions. additionally, our method uses inter-annotator agreement to judge the annotator compliance and quality of the guideline. we show that the method, combined with controlled design increments, is simple and allows the development and measurable improvement of a purpose-built semantic annotation guideline. we believe that our approach is useful for incremental design of semantic annotation guidelines in general."",",clinical text,semant,annotat
" ""Cross-domain {G}erman Medical Named Entity Recognition using a Pre-Trained Language Model and Unified Medical Semantic Types"","," ""information extraction from clinical text has the potential to facilitate clinical research and personalized clinical care, but annotating large amounts of data for each set of target tasks is prohibitive. we present a german medical named entity recognition (ner) system capable of cross-domain knowledge transferring. the system builds on a pre-trained german language model and a token-level binary classifier, employing semantic types sourced from the unified medical language system (umls) as entity labels to identify corresponding entity spans within the input text. to enhance the system{'}s performance and robustness, we pre-train it using a medical literature corpus that incorporates umls semantic term annotations. we evaluate the system{'}s effectiveness on two german annotated datasets obtained from different clinics in zero- and few-shot settings. the results show that our approach outperforms task-specific condition random fields (crf) classifiers in terms of accuracy. our work contributes to developing robust and transparent german medical ner models that can support the extraction of information from various clinical texts."",",clinical text,entity recognit,annotat
" ""Multilingual Clinical {NER}: Translation or Cross-lingual Transfer?"","," ""natural language tasks like named entity recognition (ner) in the clinical domain on non-english texts can be very time-consuming and expensive due to the lack of annotated data. cross-lingual transfer (clt) is a way to circumvent this issue thanks to the ability of multilingual large language models to be fine-tuned on a specific task in one language and to provide high accuracy for the same task in another language. however, other methods leveraging translation models can be used to perform ner without annotated data in the target language, by either translating the training set or test set. this paper compares cross-lingual transfer with these two alternative methods, to perform clinical ner in french and in german without any training data in those languages. to this end, we release mednerf a medical ner test set extracted from french drug prescriptions and annotated with the same guidelines as an english dataset. through extensive experiments on this dataset and on a german medical dataset (frei and kramer, 2021), we show that translation-based methods can achieve similar performance to clt but require more care in their design. and while they can take advantage of monolingual clinical language models, those do not guarantee better results than large general-purpose multilingual models, whether with cross-lingual transfer or translation."",",clinical domain,natural languag,annotat
" ""{UMLS}-{KGI}-{BERT}: Data-Centric Knowledge Integration in Transformers for Biomedical Entity Recognition"","," ""pre-trained transformer language models (lms) have in recent years become the dominant paradigm in applied nlp. these models have achieved state-of-the-art performance on tasks such as information extraction, question answering, sentiment analysis, document classification and many others. in the biomedical domain, significant progress has been made in adapting this paradigm to nlp tasks that require the integration of domain-specific knowledge as well as statistical modelling of language. in particular, research in this area has focused on the question of how best to construct lms that take into account not only the patterns of token distribution in medical text, but also the wealth of structured information contained in terminology resources such as the umls. this work contributes a data-centric paradigm for enriching the language representations of biomedical transformer-encoder lms by extracting text sequences from the umls.this allows for graph-based learning objectives to be combined with masked-language pre-training. preliminary results from experiments in the extension of pre-trained lms as well as training from scratch show that this framework improves downstream performance on multiple biomedical and clinical named entity recognition (ner) tasks. all pre-trained models, data processing pipelines and evaluation scripts will be made publicly available."",",medical domain,nlp,evalu
" ""{W}ang{L}ab at {MEDIQA}-Chat 2023: Clinical Note Generation from Doctor-Patient Conversations using Large Language Models"","," ""this paper describes our submission to the mediqa-chat 2023 shared task for automatic clinical note generation from doctor-patient conversations. we report results for two approaches: the first fine-tunes a pre-trained language model (plm) on the shared task data, and the second uses few-shot in-context learning (icl) with a large language model (llm). both achieve high performance as measured by automatic metrics (e.g. rouge, bertscore) and ranked second and first, respectively, of all submissions to the shared task. expert human scrutiny indicates that notes generated via the icl-based approach with gpt-4 are preferred about as often as human-written notes, making it a promising path toward automated note generation from doctor-patient conversations."",",clinical not,generat,shared task
" ""Interactive Span Recommendation for Biomedical Text"","," ""motivated by the scarcity of high-quality labeled biomedical text, as well as the success of data programming, we introduce kriss-search. by leveraging the unified medical language systems (umls) ontology, kriss-search addresses an interactive few-shot span recommendation task that we propose. we first introduce unsupervised kriss-search and show that our method outperforms existing methods in identifying spans that are semantically similar to a given span of interest, with {\textgreater}50{\%} auprc improvement relative to pubmedbert. we then introduce supervised kriss-search, which leverages human interaction to improve the notion of similarity used by unsupervised kriss-search. through simulated human feedback, we demonstrate an enhanced f1 score of 0.68 in classifying spans as semantically similar or different in the low-label setting, outperforming pubmedbert by 2 f1 points. finally, supervised kriss-search demonstrates competitive or superior performance compared to pubmedbert in few-shot biomedical named entity recognition (ner) across five benchmark datasets, with an average improvement of 5.6 f1 points. we envision kriss-search increasing the efficiency of programmatic data labeling and also providing broader utility as an interactive biomedical search engine."",",medical text,entity recognit,benchmark
" ""Teddysum at {MEDIQA}-Chat 2023: an analysis of fine-tuning strategy for long dialog summarization"","," ""in this paper, we introduce the design and various attempts for taskb of mediqa-chat 2023. the goal of taskb in mediqa-chat 2023 is to generate full clinical note from doctor-patient consultation dialogues. this task has several challenging issues, such as lack of training data, handling long dialogue inputs, and generating semi-structured clinical note which have section heads. to address these issues, we conducted various experiments and analyzed their results. we utilized the dialogled model pre-trained on long dialogue data to handle long inputs, and we pre-trained on other dialogue datasets to address the lack of training data. we also attempted methods such as using prompts and contrastive learning for handling sections. this paper provides insights into clinical note generation through analyzing experimental methods and results, and it suggests future research directions."",",clinical not,generat,challeng
" ""Rare Codes Count: Mining Inter-code Relations for Long-tail Clinical Text Classification"","," ""multi-label clinical text classification, such as automatic icd coding, has always been a challenging subject in natural language processing, due to its long, domain-specific documents and long-tail distribution over a large label set. existing methods adopt different model architectures to encode the clinical notes. whereas without digging out the useful connections between labels, the model presents a huge gap in predicting performances between rare and frequent codes. in this work, we propose a novel method for further mining the helpful relations between different codes via a relation-enhanced code encoder to improve the rare code performance. starting from the simple code descriptions, the model reaches comparable, even better performances than models with heavy external knowledge. our proposed method is evaluated on mimic-iii, a common dataset in the medical domain. it outperforms the previous state-of-art models on both overall metrics and rare code performances. moreover, the interpretation results further prove the effectiveness of our methods. our code is publicly available at \url{https://github.com/jiaminchen-1031/rare-icd}."",",medical domain,natural language process,challeng
" ""{N}ew{A}ge{H}ealth{W}arriors at {MEDIQA}-Chat 2023 Task A: Summarizing Short Medical Conversation with Transformers"","," ""this paper presents the mediqa-chat 2023 shared task organized at the acl-clinical nlp workshop. the shared task is motivated by the need to develop methods to automatically generate clinical notes from doctor-patient conversations. in this paper, we present our submission for \textit{mediqa-chat 2023 task a: short dialogue2note summarization}. manual creation of these clinical notes requires extensive human efforts, thus making it a time-consuming and expensive process. to address this, we propose an ensemble-based method over gpt-3, bart, bert variants, and rule-based systems to automatically generate clinical notes from these conversations. the proposed system achieves a score of 0.730 and 0.544 for both the sub-tasks on the test set (ranking 8th on the leaderboard for both tasks) and shows better performance compared to a baseline system using bart variants."",",clinical not,nlp,shared task
" ""A Survey of Evaluation Methods of Generated Medical Textual Reports"","," ""medical report generation (mrg) is a sub-task of natural language generation (nlg) and aims to present information from various sources in textual form and synthesize salient information, with the goal of reducing the time spent by domain experts in writing medical reports and providing support information for decision-making. given the specificity of the medical domain, the evaluation of automatically generated medical reports is of paramount importance to the validity of these systems. therefore, in this paper, we focus on the evaluation of automatically generated medical reports from the perspective of automatic and human evaluation. we present evaluation methods for general nlg evaluation and how they have been applied to domain-specific medical tasks. the study shows that mrg evaluation methods are very diverse, and that further work is needed to build shared evaluation methods. the state of the art also emphasizes that such an evaluation must be task specific and include human assessments, requesting the participation of experts in the field."",",medical domain,natural languag,evalu
" ""Overview of the {MEDIQA}-Chat 2023 Shared Tasks on the Summarization {\&} Generation of Doctor-Patient Conversations"","," ""automatic generation of clinical notes from doctor-patient conversations can play a key role in reducing daily doctors{'} workload and improving their interactions with the patients. mediqa-chat 2023 aims to advance and promote research on effective solutions through shared tasks on the automatic summarization of doctor-patient conversations and on the generation of synthetic dialogues from clinical notes for data augmentation. seventeen teams participated in the challenge and experimented with a broad range of approaches and models. in this paper, we describe the three mediqa-chat 2023 tasks, the datasets, and the participants{'} results and methods. we hope that these shared tasks will lead to additional research efforts and insights on the automatic generation and evaluation of clinical notes."",",clinical not,generat,shared task
" ""Transfer Learning for Low-Resource Clinical Named Entity Recognition"","," ""we propose a transfer learning method that adapts a high-resource english clinical ner model to low-resource languages and domains using only small amounts of in-domain annotated data. our approach involves translating in-domain datasets to english, fine-tuning the english model on the translated data, and then transferring it to the target language/domain. experiments on spanish, french, and conversational clinical text datasets show accuracy gains over models trained on target data alone. our method achieves state-of-the-art performance and can enable clinical nlp in more languages and modalities with limited resources."",",clinical text,translat,annotat
" ""{C}are4{L}ang at {MEDIQA}-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues"","," ""summarizing medical conversations is one of the tasks proposed by mediqa-chat to promote research on automatic clinical note generation from doctor-patient conversations. in this paper, we present our submission to this task using fine-tuned language models, including t5, bart and biogpt models. the fine-tuned models are evaluated using ensemble metrics including rouge, bertscore andbleurt. among the fine-tuned models, flan-t5 achieved the highest aggregated score for dialogue summarization."",",clinical not,generat,evalu
" ""Using Bottleneck Adapters to Identify Cancer in Clinical Notes under Low-Resource Constraints"","," ""processing information locked within clinical health records is a challenging task that remains an active area of research in biomedical nlp. in this work, we evaluate a broad set of machine learning techniques ranging from simple rnns to specialised transformers such as biobert on a dataset containing clinical notes along with a set of annotations indicating whether a sample is cancer-related or not. furthermore, we specifically employ efficient fine-tuning methods from nlp, namely, bottleneck adapters and prompt tuning, to adapt the models to our specialised task. our evaluations suggest that fine-tuning a frozen bert model pre-trained on natural language and with bottleneck adapters outperforms all other strategies, including full fine-tuning of the specialised biobert model. based on our findings, we suggest that using bottleneck adapters in low-resource situations with limited access to labelled data or processing capacity could be a viable strategy in biomedical text mining."",",health record,natural languag,annotat
